CUSTOMER,container_id,days
NISSAN MOTOR MANUFACTURING UK,MRSU3964115,1
NISSAN MOTOR MANUFACTURING UK,MRSU3955129,1
NISSAN MOTOR MANUFACTURING UK,MRSU3954267,1
NISSAN MOTOR MANUFACTURING UK,MRSU3947057,1
NISSAN MOTOR MANUFACTURING UK,MRKU6332480,1
NISSAN MOTOR MANUFACTURING UK,MRKU6331329,1
NISSAN MOTOR MANUFACTURING UK,MRKU6262486,1
NISSAN MOTOR MANUFACTURING UK,MRKU6166477,1
NISSAN MOTOR MANUFACTURING UK,MRKU4757188,1
NISSAN MOTOR MANUFACTURING UK,MRKU4750645,1
NISSAN MOTOR MANUFACTURING UK,MRKU4736800,1
NISSAN MOTOR MANUFACTURING UK,MRKU4700330,1
NISSAN MOTOR MANUFACTURING UK,MRKU4631116,1
NISSAN MOTOR MANUFACTURING UK,MRKU4612081,1
NISSAN MOTOR MANUFACTURING UK,MRKU4603074,1
NISSAN MOTOR MANUFACTURING UK,MRKU4601744,1
NISSAN MOTOR MANUFACTURING UK,MRKU4593850,1
NISSAN MOTOR MANUFACTURING UK,MRKU4592534,1
NISSAN MOTOR MANUFACTURING UK,MRKU4558930,1
NISSAN MOTOR MANUFACTURING UK,MRKU4444521,1
NISSAN MOTOR MANUFACTURING UK,MRKU4428243,1
NISSAN MOTOR MANUFACTURING UK,MRKU4427186,1
NISSAN MOTOR MANUFACTURING UK,MRKU4404447,1
NISSAN MOTOR MANUFACTURING UK,MRKU4380767,1
NISSAN MOTOR MANUFACTURING UK,MRKU4352662,1
NISSAN MOTOR MANUFACTURING UK,MRKU4277954,1
NISSAN MOTOR MANUFACTURING UK,MRKU4194124,1
NISSAN MOTOR MANUFACTURING UK,MRKU4171520,1
NISSAN MOTOR MANUFACTURING UK,MRKU4145686,1
NISSAN MOTOR MANUFACTURING UK,MRKU4123861,1
NISSAN MOTOR MANUFACTURING UK,MRKU4118850,1
NISSAN MOTOR MANUFACTURING UK,MRKU4082211,1
NISSAN MOTOR MANUFACTURING UK,MRKU4061029,1
NISSAN MOTOR MANUFACTURING UK,MRKU4008467,1
NISSAN MOTOR MANUFACTURING UK,MRKU4004250,1
NISSAN MOTOR MANUFACTURING UK,MRKU3976047,1
NISSAN MOTOR MANUFACTURING UK,MRKU3936358,1
NISSAN MOTOR MANUFACTURING UK,MRKU4759215,1
NISSAN MOTOR MANUFACTURING UK,HASU5115673,1
NISSAN MOTOR MANUFACTURING UK,MRKU4768330,1
NISSAN MOTOR MANUFACTURING UK,MRKU4828403,1
NISSAN MOTOR MANUFACTURING UK,MRKU6137099,1
NISSAN MOTOR MANUFACTURING UK,MRKU6083161,1
NISSAN MOTOR MANUFACTURING UK,MRKU6053887,1
NISSAN MOTOR MANUFACTURING UK,MRKU6004162,1
NISSAN MOTOR MANUFACTURING UK,MRKU5990656,1
NISSAN MOTOR MANUFACTURING UK,MRKU5987483,1
NISSAN MOTOR MANUFACTURING UK,MRKU5902608,1
NISSAN MOTOR MANUFACTURING UK,MRKU5862085,1
NISSAN MOTOR MANUFACTURING UK,MRKU5839547,1
NISSAN MOTOR MANUFACTURING UK,MRKU5811180,1
NISSAN MOTOR MANUFACTURING UK,MRKU5805249,1
NISSAN MOTOR MANUFACTURING UK,MRKU5802189,1
NISSAN MOTOR MANUFACTURING UK,MRKU5733719,1
NISSAN MOTOR MANUFACTURING UK,MRKU5708634,1
NISSAN MOTOR MANUFACTURING UK,MRKU5658533,1
NISSAN MOTOR MANUFACTURING UK,MRKU5585041,1
NISSAN MOTOR MANUFACTURING UK,MRKU5575275,1
NISSAN MOTOR MANUFACTURING UK,MRKU5505046,1
NISSAN MOTOR MANUFACTURING UK,MRKU5476293,1
NISSAN MOTOR MANUFACTURING UK,MRKU5439664,1
NISSAN MOTOR MANUFACTURING UK,MRKU5403430,1
NISSAN MOTOR MANUFACTURING UK,MRKU5400852,1
NISSAN MOTOR MANUFACTURING UK,MRKU5316567,1
NISSAN MOTOR MANUFACTURING UK,MRKU5282805,1
NISSAN MOTOR MANUFACTURING UK,MRKU5211421,1
NISSAN MOTOR MANUFACTURING UK,MRKU5149644,1
NISSAN MOTOR MANUFACTURING UK,MRKU5022881,1
NISSAN MOTOR MANUFACTURING UK,MRKU4895227,1
NISSAN MOTOR MANUFACTURING UK,MRKU4866050,1
NISSAN MOTOR MANUFACTURING UK,MRKU4822811,1
NISSAN MOTOR MANUFACTURING UK,MRSU5305170,1
NISSAN MOTOR MANUFACTURING UK,HASU5109618,1
NISSAN MOTOR MANUFACTURING UK,HASU5007540,1
NIPPON EXPRESS (UK) LIMITED,TCLU5343850,1
NIPPON EXPRESS (UK) LIMITED,TCLU3390554,1
NIPPON EXPRESS (UK) LIMITED,TCLU3036319,1
NIPPON EXPRESS (UK) LIMITED,TCKU4393798,1
NIPPON EXPRESS (UK) LIMITED,TCKU4205165,1
NIPPON EXPRESS (UK) LIMITED,TCKU3171625,1
NIPPON EXPRESS (UK) LIMITED,SEGU5526661,1
NIPPON EXPRESS (UK) LIMITED,NYKU8269464,1
NIPPON EXPRESS (UK) LIMITED,NYKU0774412,1
NIPPON EXPRESS (UK) LIMITED,MOAU0674428,1
NIPPON EXPRESS (UK) LIMITED,KKTU7777248,1
NIPPON EXPRESS (UK) LIMITED,FSCU8614405,1
NIPPON EXPRESS (UK) LIMITED,FSCU4956837,1
NIPPON EXPRESS (UK) LIMITED,TEMU0017267,1
NIPPON EXPRESS (UK) LIMITED,FCIU3133100,1
NIPPON EXPRESS (UK) LIMITED,CSNU7205580,1
NIPPON EXPRESS (UK) LIMITED,CSNU6066767,1
NIPPON EXPRESS (UK) LIMITED,CMAU9087520,1
NIPPON EXPRESS (UK) LIMITED,CMAU8291951,1
MEWS LTD,TCNU9367306,1
MAERSK BATTERY PLANT,UETU5926465,1
MAERSK BATTERY PLANT,TRLU7656003,1
MAERSK BATTERY PLANT,TLLU5051054,1
MAERSK BATTERY PLANT,TGBU9249514,1
MAERSK BATTERY PLANT,TCNU8167469,1
MAERSK BATTERY PLANT,TCKU7497522,1
MAERSK BATTERY PLANT,SUDU5901839,1
MAERSK BATTERY PLANT,MSKU8230685,1
NIPPON EXPRESS (UK) LIMITED,ECMU4364327,1
NIPPON EXPRESS (UK) LIMITED,TGBU4403571,1
NIPPON EXPRESS (UK) LIMITED,TGHU9135724,1
NIPPON EXPRESS (UK) LIMITED,TLLU6163927,1
NISSAN MOTOR MANUFACTURING UK,BEAU5474674,1
NISSAN MOTOR MANUFACTURING UK,BEAU5448952,1
NISSAN MOTOR MANUFACTURING UK,BEAU5380620,1
NISSAN MOTOR MANUFACTURING UK,BEAU5353306,1
NISSAN MOTOR MANUFACTURING UK,BEAU5235005,1
NISSAN MOTOR MANUFACTURING UK,BEAU5233466,1
NISSAN MOTOR MANUFACTURING UK,BEAU4419230,1
NISSAN MOTOR MANUFACTURING UK,BEAU4415851,1
NISSAN MOTOR MANUFACTURING UK,BEAU2591147,1
NISSAN MOTOR MANUFACTURING UK,BEAU2154466,1
NISSAN MOTOR MANUFACTURING UK,APZU3812096,1
NISSAN MOTOR MANUFACTURING UK,APZU3796101,1
NISSAN MOTOR MANUFACTURING UK,APZU3437436,1
NISSAN MOTOR MANUFACTURING UK,APMU8067061,1
NISSAN MOTOR MANUFACTURING UK,AMFU8766911,1
NISSAN MOTOR MANUFACTURING,SUDU6193565,1
NISSAN MOTOR MANUFACTURING,MNBU9076700,1
NISSAN MOTOR MANUFACTURING,MNBU4150682,1
NISSAN MOTOR MANUFACTURING,MNBU3999309,1
NISSAN MOTOR MANUFACTURING,MNBU0583489,1
NISSAN MOTOR MANUFACTURING,MNBU0350234,1
NIPPON EXPRESS (UK) LIMITED,UETU5839946,1
NIPPON EXPRESS (UK) LIMITED,TTNU5685718,1
NIPPON EXPRESS (UK) LIMITED,TTNU5080239,1
NIPPON EXPRESS (UK) LIMITED,TRLU9714808,1
NIPPON EXPRESS (UK) LIMITED,TRLU9682383,1
NIPPON EXPRESS (UK) LIMITED,TRLU8650571,1
NIPPON EXPRESS (UK) LIMITED,TRLU4884313,1
NIPPON EXPRESS (UK) LIMITED,TRHU2532742,1
MAERSK BATTERY PLANT,MSKU5928815,1
NISSAN MOTOR MANUFACTURING UK,BEAU5683083,1
MAERSK BATTERY PLANT,MSKU1346251,1
MAERSK BATTERY PLANT,MRKU6380977,1
MAERSK A/S,TCKU1115263,1
MAERSK A/S,SUDU7669358,1
MAERSK A/S,SUDU7572692,1
MAERSK A/S,SUDU1735283,1
MAERSK A/S,PONU8186324,1
MAERSK A/S,MSKU8920438,1
MAERSK A/S,MSKU7999778,1
MAERSK A/S,MSKU7927994,1
MAERSK A/S,MSKU7898854,1
MAERSK A/S,MSKU7898113,1
MAERSK A/S,MSKU7766061,1
MAERSK A/S,MSKU7751354,1
MAERSK A/S,MSKU6408628,1
MAERSK A/S,TCKU1346452,1
MAERSK A/S,MSKU6068298,1
MAERSK A/S,MSKU5571923,1
MAERSK A/S,MSKU5285508,1
MAERSK A/S,MSKU5071954,1
MAERSK A/S,MSKU4038186,1
MAERSK A/S,MSKU3997191,1
MAERSK A/S,MSKU2943020,1
MAERSK A/S,MSKU2902231,1
MAERSK A/S,MSKU2050834,1
MAERSK A/S,MSKU0019423,1
MAERSK A/S,MRSU4276020,1
MAERSK A/S,MRKU9836090,1
MAERSK A/S,MRKU9657915,1
MAERSK A/S,MRKU9570158,1
MAERSK A/S,MSKU5701098,1
MAERSK A/S,TCKU3208175,1
MAERSK A/S,TCKU7127404,1
MAERSK A/S,TCKU7847683,1
MAERSK BATTERY PLANT,MRKU6263899,1
MAERSK BATTERY PLANT,MRKU5249936,1
MAERSK BATTERY PLANT,MRKU5219870,1
MAERSK BATTERY PLANT,MRKU4626784,1
MAERSK BATTERY PLANT,MRKU3729330,1
MAERSK BATTERY PLANT,MRKU3699220,1
MAERSK BATTERY PLANT,MRKU3434920,1
MAERSK BATTERY PLANT,MNBU9128850,1
MAERSK BATTERY PLANT,MNBU4184173,1
MAERSK BATTERY PLANT,MNBU4131065,1
MAERSK BATTERY PLANT,MNBU3968329,1
MAERSK BATTERY PLANT,MNBU3719239,1
MAERSK BATTERY PLANT,MNBU3593032,1
MAERSK BATTERY PLANT,MNBU3112625,1
MAERSK BATTERY PLANT,MNBU0382632,1
MAERSK BATTERY PLANT,MNBU0087030,1
MAERSK BATTERY PLANT,HASU4671045,1
MAERSK BATTERY PLANT,CAAU5646950,1
MAERSK BATTERY PLANT,CAAU5382076,1
MAERSK BATTERY PLANT,BMOU2444475,1
MAERSK A/S,TTNU1262195,1
MAERSK A/S,TRHU3183898,1
MAERSK A/S,TRHU2833849,1
MAERSK A/S,TGHU1608245,1
MAERSK A/S,TEMU2040435,1
MAERSK A/S,TCNU1705752,1
MAERSK A/S,TCLU6179709,1
MAERSK A/S,TCLU5757715,1
MAERSK A/S,TCLU3789734,1
MAERSK BATTERY PLANT,MRKU6499478,1
NISSAN MOTOR MANUFACTURING UK,BEAU5685569,1
NISSAN MOTOR MANUFACTURING UK,BEAU5735850,1
NISSAN MOTOR MANUFACTURING UK,BEAU5745647,1
NISSAN MOTOR MANUFACTURING UK,GESU5650019,1
NISSAN MOTOR MANUFACTURING UK,GESU4914903,1
NISSAN MOTOR MANUFACTURING UK,GESU3609309,1
NISSAN MOTOR MANUFACTURING UK,GESU1145580,1
NISSAN MOTOR MANUFACTURING UK,GCXU5769393,1
NISSAN MOTOR MANUFACTURING UK,GCXU5761387,1
NISSAN MOTOR MANUFACTURING UK,GCXU5669326,1
NISSAN MOTOR MANUFACTURING UK,GCXU5547349,1
NISSAN MOTOR MANUFACTURING UK,GCXU5393937,1
NISSAN MOTOR MANUFACTURING UK,GCXU5255347,1
NISSAN MOTOR MANUFACTURING UK,GCXU5247676,1
NISSAN MOTOR MANUFACTURING UK,GCXU5236645,1
NISSAN MOTOR MANUFACTURING UK,GCXU5216926,1
NISSAN MOTOR MANUFACTURING UK,GESU6002601,1
NISSAN MOTOR MANUFACTURING UK,GATU0145868,1
NISSAN MOTOR MANUFACTURING UK,FTAU1318526,1
NISSAN MOTOR MANUFACTURING UK,FSCU9446137,1
NISSAN MOTOR MANUFACTURING UK,FSCU8655657,1
NISSAN MOTOR MANUFACTURING UK,FSCU8632395,1
NISSAN MOTOR MANUFACTURING UK,FSCU8616347,1
NISSAN MOTOR MANUFACTURING UK,FSCU8614302,1
NISSAN MOTOR MANUFACTURING UK,FSCU8317752,1
NISSAN MOTOR MANUFACTURING UK,FSCU5717781,1
NISSAN MOTOR MANUFACTURING UK,FFAU1843553,1
NISSAN MOTOR MANUFACTURING UK,FFAU1822437,1
NISSAN MOTOR MANUFACTURING UK,FFAU1487576,1
NISSAN MOTOR MANUFACTURING UK,FFAU1463656,1
NISSAN MOTOR MANUFACTURING UK,FFAU1439114,1
NISSAN MOTOR MANUFACTURING UK,GAOU6590158,1
NISSAN MOTOR MANUFACTURING UK,GESU6227573,1
NISSAN MOTOR MANUFACTURING UK,GLDU5333664,1
NISSAN MOTOR MANUFACTURING UK,GLDU5707126,1
NISSAN MOTOR MANUFACTURING UK,HASU5004561,1
NISSAN MOTOR MANUFACTURING UK,HASU4931008,1
NISSAN MOTOR MANUFACTURING UK,HASU4912230,1
NISSAN MOTOR MANUFACTURING UK,HASU4886070,1
NISSAN MOTOR MANUFACTURING UK,HASU4836783,1
NISSAN MOTOR MANUFACTURING UK,HASU4800667,1
NISSAN MOTOR MANUFACTURING UK,HASU4731376,1
NISSAN MOTOR MANUFACTURING UK,HASU4704792,1
NISSAN MOTOR MANUFACTURING UK,HASU4618483,1
NISSAN MOTOR MANUFACTURING UK,HASU4522490,1
NISSAN MOTOR MANUFACTURING UK,HASU4457183,1
NISSAN MOTOR MANUFACTURING UK,HASU4445140,1
NISSAN MOTOR MANUFACTURING UK,HASU4399132,1
NISSAN MOTOR MANUFACTURING UK,HASU4385205,1
NISSAN MOTOR MANUFACTURING UK,HASU4385150,1
NISSAN MOTOR MANUFACTURING UK,HASU4352032,1
NISSAN MOTOR MANUFACTURING UK,HASU4318824,1
NISSAN MOTOR MANUFACTURING UK,HASU4276204,1
NISSAN MOTOR MANUFACTURING UK,HASU4260960,1
NISSAN MOTOR MANUFACTURING UK,HASU4259090,1
NISSAN MOTOR MANUFACTURING UK,HASU4186585,1
NISSAN MOTOR MANUFACTURING UK,HASU4165290,1
NISSAN MOTOR MANUFACTURING UK,HASU4109444,1
NISSAN MOTOR MANUFACTURING UK,HASU4029570,1
NISSAN MOTOR MANUFACTURING UK,HASU1462817,1
NISSAN MOTOR MANUFACTURING UK,HAMU1287409,1
