,LOAD/DISCHARGE,LOAD/DISCHARGE CUSTOMER,DELIVER TO,COLLECT FROM,co2 LBS
343,BATHGATE,CONTAINER WORLD,BATHGATE,SOUTH SHIELDS,841.01544
344,BATHGATE,CONTAINER WORLD,BATHGATE,SOUTH SHIELDS,841.01544
345,HARTLEPOOL,J&B RECYCLING,SOUTH SHIELDS,SOUTH SHIELDS,841.01544
346,WASHINGTON,VANTEC KD IMPORTS,SOUTH SHIELDS,SOUTH SHIELDS,841.01544
347,WASHINGTON,VANTEC KD IMPORTS,SOUTH SHIELDS,SOUTH SHIELDS,841.01544
348,WALKER,WELLSTREAM / GE OIL & GAS,SOUTH SHIELDS,SOUTH SHIELDS,949.55064
349,WALKER,WELLSTREAM / GE OIL & GAS,SOUTH SHIELDS,SOUTH SHIELDS,949.55064
350,WALKER,WELLSTREAM / GE OIL & GAS,SOUTH SHIELDS,WALKER,949.55064
351,WALKER,WELLSTREAM / GE OIL & GAS,SOUTH SHIELDS,SOUTH SHIELDS,949.55064
352,DARLINGTON,ALDI DARLINGTON,Leeds,SOUTH SHIELDS,1575.34872
353,WALKER,WELLSTREAM / GE OIL & GAS,SOUTH SHIELDS,SOUTH SHIELDS,1575.34872
354,DARLINGTON,ALDI DARLINGTON,Leeds,SOUTH SHIELDS,1575.34872
355,DARLINGTON,ALDI DARLINGTON,Leeds,SOUTH SHIELDS,833.868
356,WALKER,WELLSTREAM / GE OIL & GAS,SOUTH SHIELDS,SOUTH SHIELDS,833.868
357,DARLINGTON,ALDI DARLINGTON,Leeds,SOUTH SHIELDS,833.868
