,J TYPE,DEL TIME,HAZ,DRIVING_TIME,LOAD/DISCHARGE,LOAD/DISCHARGE CUSTOMER,DELIVER TO,co2 LBS
283,TRU,23:59,-1,738,CANNOCK,PENTALVER CANNOCK,SOUTH SHIELDS,1385.01504
284,IMP,10:00,-1,570,WASHINGTON,VANTEC EUROPE LTD,SOUTH SHIELDS,1073.17488
285,IMP,13:00,17,570,FELLING,International Paint Ltd,SOUTH SHIELDS,1073.17488
286,IMP,16:00,-1,570,SUNDERLAND,THE BATTERY PLANT (NOT VANTEC),SOUTH SHIELDS,1073.17488
287,TRU,23:59,-1,570,CANNOCK,PENTALVER CANNOCK,SOUTH SHIELDS,1073.17488
288,TRU,23:59,-1,570,CANNOCK,PENTALVER CANNOCK,SOUTH SHIELDS,1073.17488
289,TRU,10:30,-1,766,PETERBOROUGH,ANGLIA HOME FURNISHINGS,LEEDS,1676.47176
290,MT,14:30,-1,766,LEEDS,NORCON,SOUTH SHIELDS,1676.47176
291,TRU,23:59,-1,766,CANNOCK,PENTALVER CANNOCK,SOUTH SHIELDS,1676.47176
292,TRU,23:59,-1,766,CANNOCK,PENTALVER CANNOCK,SOUTH SHIELDS,1676.47176
293,TRU,12:00,-1,733,PETERBOROUGH,ANGLIA HOME FURNISHINGS,LEEDS,1365.1610400000002
294,MT,16:30,-1,733,LEEDS,NORCON,SOUTH SHIELDS,1365.1610400000002
295,IMP,3:13,-1,255,BIRTLEY,KOMATSU UK,SOUTH SHIELDS,458.23032
296,TRU,23:59,-1,255,CANNOCK-40FT,PENTALVER CANNOCK,SOUTH SHIELDS,458.23032
297,MT,23:59,-1,255,CANNOCK,PENTALVER CANNOCK,SOUTH SHIELDS,458.23032
298,PTP,9:00,-1,23,CALDICOT,WILKINSON - DC2,SOUTH SHIELDS,32.82528
299,PTP,17:00,-1,23,TEESPORT,TESCO LIMITED (MIDDLESBROUGH),SOUTH SHIELDS,32.82528
300,CUR,5:30,-1,468,EAGLESCLIFFE,TETLEY,SOUTH SHIELDS,794.9541600000001
301,CUR,5:31,-1,468,EAGLESCLIFFE,TETLEY,SOUTH SHIELDS,794.9541600000001
302,CUR,9:15,-1,468,EAGLESCLIFFE,TETLEY,SOUTH SHIELDS,794.9541600000001
303,CUR,9:16,-1,468,EAGLESCLIFFE,TETLEY,SOUTH SHIELDS,794.9541600000001
304,CUR,9:17,-1,468,EAGLESCLIFFE,TETLEY,SOUTH SHIELDS,794.9541600000001
305,IMP,14:00,-1,468,WASHINGTON,VANTEC KD IMPORTS,SOUTH SHIELDS,794.9541600000001
306,CUR,6:30,-1,546,EAGLESCLIFFE,TETLEY,SOUTH SHIELDS,951.93312
307,CUR,6:31,-1,546,EAGLESCLIFFE,TETLEY,SOUTH SHIELDS,951.93312
308,CUR,9:00,-1,546,BIRTLEY,KOMATSU UK,SOUTH SHIELDS,951.93312
309,IMP,14:00,-1,546,WASHINGTON,VANTEC KD IMPORTS,SOUTH SHIELDS,951.93312
310,EXP,7:00,-1,845,DARLINGTON,ALDI DARLINGTON,Leeds,1375.48512
311,MT,10:00,-1,845,LEEDS,NORCON,SOUTH SHIELDS,1375.48512
312,IMP,17:50,-1,845,WASHINGTON,VANTEC KD IMPORTS,SOUTH SHIELDS,1375.48512
313,IMP,19:10,-1,845,WASHINGTON,VANTEC KD IMPORTS,SOUTH SHIELDS,1375.48512
314,IMP,20:30,-1,845,WASHINGTON,VANTEC KD IMPORTS,SOUTH SHIELDS,1375.48512
315,IMP,21:50,-1,845,WASHINGTON,VANTEC KD IMPORTS,SOUTH SHIELDS,1375.48512
316,MT,7:00,-1,875,OLDBURY,CENTRAL CONTAINER SERVICES LTD,SOUTH SHIELDS,1656.08832
317,MT,16:59,-1,875,BATHGATE,CONTAINER WORLD,BATHGATE,1656.08832
318,MT,16:59,-1,875,BATHGATE,CONTAINER WORLD,BATHGATE,1656.08832
319,EXP,7:00,-1,226,BEDLINGTON,HODGES RECYCLING,SOUTH SHIELDS,432.55248
320,EXP,12:00,-1,226,CARLISLE,HESPIN WOOD WASTE MANAGEMENT,SOUTH SHIELDS,432.55248
321,CUR,8:00,-1,25,JARROW,J BARBOUR & SONS LTD,SOUTH SHIELDS,15.8832
322,MT,8:00,-1,695,MIDDLESBROUGH,CLEVELAND CONTAINERS,SOUTH SHIELDS,1069.4688
323,MT,8:00,-1,695,MIDDLESBROUGH,CLEVELAND CONTAINERS,SOUTH SHIELDS,1069.4688
324,MT,9:00,-1,695,TEESPORT,TEESPORT,SOUTH SHIELDS,1069.4688
325,EXP,13:00,-1,695,CARLISLE,HESPIN WOOD WASTE MANAGEMENT,SOUTH SHIELDS,1069.4688
